title,rating,date_watched,times_watched,genre,trippy
WNUF Halloween Special,5,10/2/2021,"1","horror",0
RiffTrax: Blood Theater,5,10/4/2021,"1","horror",0
Rifftrax: Frankenstein Island,-1,10/5/2021,"1","horror",0
RiffTrax: Astro Zombies,1,10/5/2021,"1","horror",0
Killer Sofa,2,10/5/2021,"1","horror",0
A Chinese Ghost Story,3,10/6/2021,"1","horror",3
Drive Thru,2,10/7/2021,"1","horror",0
Death Machine,3,10/8/2021,"1","horror",0
Dolls,4,10/8/2021,"1","horror",0
V/H/S/94,4,10/9/2021,"1","horror",1
Z-O-M-B-I-E (Japanese dubs / no subs),5,10/9/2021,"1","horror",0
House,3,10/11/2021,"1","horror",2
Hatchet,3,10/12/2021,"1","horror slasher",0
RiffTrax: Bloody Pit of Horror,2,10/12/2021,1"1","horror",0
Creepshow 2,4,10/13/2021,"3","horror",0
RiffTrax: MANOS The Hands of Fate,2,10/13/2021,"1","horror",0
The Lighthouse,4,10/14/2021,"1","horror",4
The VelociPastor,2,10/14/2021,"1","horror",2
Hellraiser,4,10/15/2021,"1","horror",0
Llamageddon,3,10/15/2021,"1","horror",1
House (1977),4,10/16/2021,"1","horror",5
Hell House LLC,4,10/17/2021,"1","horror",0
Da Hip Hop Witch,0,10/17/2021,"1","horror",0
Scarecrows,3,10/17/2021,"1","horror",0
Sleepaway Camp II: Unhappy Campers,3,10/18/2021,"1","horror",0
Jigsaw (2002),1,10/19/2021,"1","horror",0
RiffTrax: Beast of the Yellow Night,3,10/19/2021,"1","horror",0
Hatchet II,4,10/20/21,"1","horror slasher",0
The Brain (1988),3,10/21/2021,"1","horror",2
Jack Frost,3,10/21/2021,"1","horror",0
Hatchet III,4,10/22/2021,"1","horror slasher",0
Dune,4,10/23/2021,"1","sci-fi",0
In The Mouth Of Madness,4,10/24/2021,"1","horror",4
RiffTrax: Contamination,4,10/24/2021,"1","horror",0
Big Top Evil,0,10/25/2021,"1","horror",0
Transylvania 6-5000,4,10/26/2021,"1","horror comedy",0
Edge of the axe,-1,10/27/2021,"0","horror",0
Def By Temptation,3,10/29/2021,"1","horror",0
Shaun of the Dead,5,10/30/2021,"5+","horror",0
Hellbound: Hellraiser 2,3,10/31/2021,"1","horror",0
The Shining,5,11/4/2021,"5+","horror",4
Judge Dredd,3,11/6/2021,"1","action",0
Friday the 13th - Part II,2,11/10/2021,1,"horror slasher",0
The Visitor,3,11/13/2021,1,"horror",5
Creepshow,3,11/14/2021,2,"horror",0
Doctor Sleep,3,11/15/2021,2,"horror",2
Overlord,4,11/16/2021,2,"horror",0
