title,rating,date_watched,times_watched,genre,tv_show
WNUF Halloween Special,5,"10/2/2021","1","horror",false
RiffTrax: Blood Theater,5,"10/4/2021","1","horror",false
Rifftrax: Frankenstein Island,-1,"10/5/2021","1","horror",false
RiffTrax: Astro Zombies,1,"10/5/2021","1","horror",false
Killer Sofa,2,"10/5/2021","1","horror",false
A Chinese Ghost Story,3,"10/6/2021","1","horror",false
Drive Thru,2,"10/7/2021","1","horror",false
Death Machine,3,"10/8/2021","1","horror",false
Dolls,4,"10/8/2021","1","horror",false
V/H/S/94,4,"10/9/2021","1","horror",false
Z-O-M-B-I-E (Japanese dubs / no subs),5,"10/9/2021","1","horror",false
House,3,"10/11/2021","1","horror",false
Hatchet,3,"10/12/2021","1","horror slasher",false
RiffTrax: Bloody Pit of Horror,2,"10/12/2021","1","horror",false
Creepshow 2,4,"10/13/2021","3","horror",false
RiffTrax: MANOS The Hands of Fate,2,"10/13/2021","1","horror",false
The Lighthouse,4,"10/14/2021","1","horror",false
The VelociPastor,2,"10/14/2021","1","horror",false
Hellraiser,4,"10/15/2021","1","horror",false
Llamageddon,3,"10/15/2021","1","horror",false
House (1977),4,"10/16/2021","1","horror",false
Hell House LLC,4,"10/17/2021","1","horror",false
Da Hip Hop Witch,0,"10/17/2021","1","horror",false
Scarecrows,3,"10/17/2021","1","horror",false
Sleepaway Camp II: Unhappy Campers,3,"10/18/2021","1","horror",false
Jigsaw (2002),1,"10/19/2021","1","horror",false
RiffTrax: Beast of the Yellow Night,3,"10/19/2021","1","horror",false
Hatchet II,4,"10/20/21","1","horror slasher",false
The Brain (1988),3,"10/21/2021","1","horror",false
Jack Frost,3,"10/21/2021","1","horror",false
Hatchet III,4,"10/22/2021","1","horror slasher",false
Dune,4,"10/23/2021","1","sci-fi",false
In The Mouth Of Madness,4,"10/24/2021","1","horror",false
RiffTrax: Contamination,4,"10/24/2021","1","horror",false
Big Top Evil,0,"10/25/2021","1","horror",false
Transylvania 6-5000,4,"10/26/2021","1","horror comedy",false
Edge of the axe,-1,"10/27/2021","0","horror",false
Def By Temptation,3,"10/29/2021","1","horror",false
Shaun of the Dead,5,"10/30/2021","5+","horror",false
Hellbound: Hellraiser 2,3,"10/31/2021","1","horror",false
The Shining,5,"11/4/2021","5+","horror",false
Judge Dredd,3,"11/6/2021","1","action",false
Friday the 13th - Part II,2,"11/10/2021","1","horror slasher",false
The Visitor,3,"11/13/2021","1","horror",false
Monster Hunter,2,"11/29/2021","2","action",false
Mad Max: Fury Road,5,"12/4/2021","5+","action",false
V/H/S,4,"12/5/2021","5+","horror",false
V/H/S 2,4,"12/6/2021","4","horror",false
Hot Fuzz,5,"12/9/2021","5+","action",false
The World's End,4,"12/9/2021","4","action",false
Die Hard,5,"12/11/2021","5+","action",false
Kung Pow: Enter the Fist,4,"12/12/2021","5+","action, comedy",false
Commando,5,"12/13/2021","5+","action",false
Jingle All The Way,5,"12/14/2021","5+","action comedy",false
Predator,5,"12/16/2021","5+","action",false
Arcane,4,"12/27/2021","1","action",true
Office Space,5,"12/30/2021","5+","comedy",false
Blood Beat,3,"1/1/2022","1","horror",false
Misery,3,"1/5/2022","3","horror",false
Troll 2,5,"1/8/2022","5+","horror",false
The Fog,3,"1/10/2022","2","horror",false
They Live,4,"1/12/2022","4","horror action",false
The Thing,5,"1/14/2022","5+","horror",false
RiffTrax: The Bermuda Triangle,4,"1/16/2022","1","horror",false
Spider-man,4,"1/20/2022","5+","action",false
Spider-man 2,5,"1/20/2022","5+","action",false
Spider-man 3,4,"1/20/2022","5+","action",false
Iron Man,4,"1/24/2022","5+","action",false
